Altium Designer Pick and Place Locations
E:\Workspace\Workspace\Altium Designer workspace\Projects\PDB_V1.0_MultiBoard\PDB_V1.0_Core\Project Outputs for PDB_V1.0_Core\Pick Place for PDB_PCB1.csv

========================================================================================================================
File Design Information:

Date:       01/03/24
Time:       22:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"IC4","SN74LVC1T45DBVR","TopLayer","SOT95P280X145-6N","1732.000","491.000","180","Integrated Circuit
电平转换模块 立创编号：C7843"
"R1","1K","TopLayer","RESC3116X06N__1206RES","852.000","151.000","0","Std Resistor"
"IC1","STM32F407VET6","TopLayer","QFP50P1600X1600X160-100N","1090.000","834.000","225","Integrated Circuit"
"U2","ZX-PZ2.54-2-5PZZ","TopLayer","HDR-TH_10P-P2.54-V-M-R2-C5-S2.54","507.000","200.000","180",""
"C24","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1711.000","858.000","135","Std MLCC Cap"
"H1","2.54-1*4P母","BottomLayer","HDR-TH_4P-P2.54-V-F","1102.362","236.220","0","立创编号：C2718488"
"R21","10K","TopLayer","RESC1608X04N_0603RES","951.000","1302.000","135","Std Resistor"
"R20","10K","TopLayer","RESC1608X04N_0603RES","706.337","1052.663","135","Std Resistor"
"R19","10K","TopLayer","RESC1608X04N_0603RES","744.000","1284.000","270","Std Resistor"
"R18","43K","TopLayer","RESC1608X04N_0603RES","918.000","1269.000","135","Std Resistor"
"R17","43K","TopLayer","RESC1608X04N_0603RES","671.337","1017.663","135","Std Resistor"
"R16","3K","TopLayer","RESC1608X04N_0603RES","288.000","1328.858","90","Std Resistor"
"R15","3K","TopLayer","RESC1608X04N_0603RES","346.000","1328.716","90","Std Resistor"
"R14","43K","TopLayer","RESC1608X04N_0603RES","986.000","1337.000","135","Std Resistor"
"R2","43K","TopLayer","RESC1608X04N_0603RES","636.337","981.663","135","Std Resistor"
"OP1","EL357N(C)(TA)-VG","TopLayer","SOP-4-2.54mm","553.000","1285.602","0","No Description Available"
"LED30","0805-G","TopLayer","DIOC2012X11N__0805DIO","317.000","1231.000","180","Light Emitting Diode"
"E2","CESD3V3D3 YU","TopLayer","SOD-323_L1.8-W1.3-LS2.5-RD","838.912","1192.088","135","极性:单向;反向截止电压(Vrwm):3.3V;击穿电压(VBR):5V;钳位电压(Vc)@Ipp:13V;"
"E1","CESD3V3D3 YU","TopLayer","SOD-323_L1.8-W1.3-LS2.5-RD","787.762","1135.238","135","极性:单向;反向截止电压(Vrwm):3.3V;击穿电压(VBR):5V;钳位电压(Vc)@Ipp:13V;"
"C27","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","883.337","1234.663","315","Std MLCC Cap"
"C26","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","743.033","1089.967","315","Std MLCC Cap"
"X1","X322525MOB4SI","TopLayer","OSC-SMD_4P-L3.2-W2.5-BL","1509.735","1034.985","135","频率:25MHz;频率公差:±10ppm;负载电容:12pF;"
"U1","K7805MT_1000R4","TopLayer","K7805MT_500R4","1672.341","202.098","180",""
"RST","TS-1088-AR02016","TopLayer","SW-SMD_L3.9-W3.0-P4.45","1695.000","1259.000","90","Switch"
"BOOT","TS-1088-AR02016","TopLayer","SW-SMD_L3.9-W3.0-P4.45","1909.000","713.000","270","Switch"
"SWITCH","TS-1088-AR02016","TopLayer","SW-SMD_L3.9-W3.0-P4.45","1850.000","1258.000","90","Switch"
"R13","10K","TopLayer","RESC1608X04N_0603RES","1342.000","483.000","135","Std Resistor"
"R12","120Ω","TopLayer","RESC1608X04N_0603RES","1750.575","737.425","135","Std Resistor"
"R11","1K","TopLayer","RESC1608X04N_0603RES","1091.000","334.000","180","Std Resistor"
"R10","10K","TopLayer","RESC1608X04N_0603RES","1440.000","1284.000","225","Std Resistor"
"R9","10K","TopLayer","RESC1608X04N_0603RES","1853.000","944.717","90","Std Resistor"
"R8","22Ω","TopLayer","RESC1608X04N_0603RES","1589.575","940.575","45","Std Resistor"
"R7","10k","TopLayer","RESC1608X04N_0603RES","1480.000","1244.000","45","Std Resistor"
"R6","1K","TopLayer","RESC1608X04N_0603RES","1628.000","902.000","45","Std Resistor"
"R4","1K","TopLayer","RESC1608X04N_0603RES","806.000","517.000","225","Std Resistor"
"R3","1K","TopLayer","RESC1608X04N_0603RES","715.000","611.000","45","Std Resistor"
"Q2","S8050-SOT23","TopLayer","SOT95P245X110-3N","1253.223","390.223","45","Jellybeam NPN"
"Q1","S8050-SOT23","TopLayer","SOT95P245X110-3N","1340.776","1192.223","135","Jellybeam NPN"
"LED3","0603_R","TopLayer","LED0603-RD_RED","1385.001","525.996","135","Light Emitting Diode"
"LED2","0603_R","TopLayer","LED0603-RD_RED","848.004","474.001","225","Light Emitting Diode"
"LED1","0603_R","TopLayer","LED0603-RD_RED","758.996","567.999","45","Light Emitting Diode"
"IC3","TJA1050T_CM,118","TopLayer","SOIC127P600X175-8N","1586.000","653.000","315","Integrated Circuit"
"IC2","AMS1117-3.3","TopLayer","SOT229P700X180-4N","436.000","641.000","90","Integrated Circuit"
"D1","1N4148WS_C2128","TopLayer","SOD-323_L1.8-W1.3-LS2.5-RD","1793.000","949.205","90","二极管配置:独立式;功率:200mW;直流反向耐压(Vr):100V;平均整流电流(Io):150mA;正向压降(Vf):1.25V@150mA;反向电流(Ir):1uA@75V;反向恢复时间(trr):4ns;工作温度:+150℃@(Tj);"
"CN2","BTB_0.8mm_40Pin_Father","BottomLayer","BTB_0.8MM_40PIN_F","2047.244","748.032","180",""
"CN1","BTB_0.8mm_40Pin_Father","BottomLayer","BTB_0.8MM_40PIN_F","157.480","748.032","180",""
"C23","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1430.000","566.000","315","Std MLCC Cap"
"C22","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1307.000","446.000","135","Std MLCC Cap"
"C21","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1400.000","1324.000","225","Std MLCC Cap"
"C20","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1422.271","1110.271","225","Std MLCC Cap"
"C19","12pF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1541.729","1153.271","315","Std MLCC Cap"
"C18","12pF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1626.271","1068.729","315","Std MLCC Cap"
"C17","2.2uF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","893.000","432.000","225","Std MLCC Cap"
"C16","2.2uF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","589.000","934.000","135","Std MLCC Cap"
"C15","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","373.000","451.000","0","Std MLCC Cap"
"C14","10uF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","373.000","397.000","0","Std MLCC Cap"
"C13","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","499.496","397.000","180","Std MLCC Cap"
"C12","10uF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","499.496","451.000","180","Std MLCC Cap"
"C11","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1180.729","1351.729","225","Std MLCC Cap"
"C10","10uF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1145.000","1388.000","225","Std MLCC Cap"
"C9","10uF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1251.000","1282.000","225","Std MLCC Cap"
"C8","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1215.729","1316.729","225","Std MLCC Cap"
"C7","10uF 50V","TopLayer","CAPC3216X16N_1206CAPUNPOLE","1902.000","250.000","90","Std MLCC Cap"
"C6","22uF\10V","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1455.000","269.000","90","Std MLCC Cap"
"C5","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1671.000","818.000","135","Std MLCC Cap"
"C4","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","552.000","896.000","315","Std MLCC Cap"
"C3","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","938.000","385.000","45","Std MLCC Cap"
"C2","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1286.000","1247.000","225","Std MLCC Cap"
"C1","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","1029.000","1377.000","315","Std MLCC Cap"
