Altium Designer Pick and Place Locations
E:\Workspace\Workspace\Altium Designer workspace\Projects\PDB_V1.0_MultiBoard\PDB_V1.0_Mother\Project Outputs for PDB_V1.0_Mother\Pick Place for PDB_PCB2.csv

========================================================================================================================
File Design Information:

Date:       04/03/24
Time:       19:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"C1","10TPB330M","TopLayer","POSCAP_D12_D15_D15E_D2E_D2_D3L_D4","7106.000","2526.575","0","Capacitor Polarised","7106.000","2526.575","6985.921","2526.575"
"R32","3K","BottomLayer","RESC1608X04N_0603RES","5792.000","2842.000","270","Std Resistor","5792.000","2842.000","5792.000","2872.512"
"LED1","0805-G","BottomLayer","DIOC2012X11N__0805DIO","5728.000","2842.000","270","Light Emitting Diode","5728.000","2842.000","5728.000","2882.354"
"D13","B540C-13-F","TopLayer","DIOM7959X250N","6366.000","2625.000","90","Diode","6366.000","2625.000","6366.000","2487.205"
"R10","0Ω","TopLayer","RESC6432X06N__2512RES","5625.000","1120.000","90","Std Resistor","5625.000","1120.000","5625.000","1001.890"
"R28","0Ω","TopLayer","RESC6432X06N__2512RES","3625.000","1981.890","90","Std Resistor","3625.000","1981.890","3625.000","1863.780"
"R30","0Ω","TopLayer","RESC6432X06N__2512RES","3620.000","1200.000","90","Std Resistor","3620.000","1200.000","3620.000","1081.890"
"R6","0Ω","TopLayer","RESC6432X06N__2512RES","4985.000","1550.000","90","Std Resistor","4985.000","1550.000","4985.000","1431.890"
"R1","0Ω","TopLayer","RESC6432X06N__2512RES","5630.000","2055.000","90","Std Resistor","5630.000","2055.000","5630.000","1936.890"
"CN3","BTB_0.8mm_40Pin_Mother","TopLayer","BTB_0.8mm_40PIN_M","905.512","1614.173","0","","905.512","1614.173","820.472","1913.386"
"R128","0","TopLayer","RESC6432X06N__2512RES","2560.000","2810.000","0","Std Resistor","2560.000","2810.000","2441.890","2810.000"
"J12","XT60PW-M","BottomLayer","XT60PWM","3165.748","2811.890","180","Connector","3165.748","2693.780","3307.480","2693.780"
"HIGH","5569_18pin直插","BottomLayer","5569_18PIN","6365.000","1660.000","270","","6365.000","1660.000","6447.677","998.583"
"VBAT2","Bolt_Connecter","BottomLayer","BOLT_CONNECTER","7125.000","2890.000","270","","7125.000","2890.000","7026.575","3027.795"
"IC14","TPS5450DDA","TopLayer","SOIC127P600X170-9N","6095.000","2587.000","180","Integrated Circuit","6095.000","2587.000","6201.772","2512.000"
"R113","1.8K","TopLayer","RESC1608X04N_0603RES","6155.000","2799.000","270","Std Resistor","6155.000","2799.000","6155.000","2829.512"
"R2","10K","TopLayer","RESC1608X04N_0603RES","6184.512","2716.000","0","Std Resistor","6184.512","2716.000","6154.000","2716.000"
"C84","22uF","TopLayer","CAPC2012X06N__0805CAPUNPOLE","5920.000","2586.000","270","Std MLCC Cap","5920.000","2586.000","5920.000","2624.386"
"C68","10nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","6093.000","2461.646","180","Std MLCC Cap","6093.000","2461.646","6124.496","2461.646"
"VBAT1","Bolt_Connecter","BottomLayer","BOLT_CONNECTER","7905.000","2890.000","270","","7905.000","2890.000","7806.575","3027.795"
"DCDC_IN","Bolt_Connecter","BottomLayer","BOLT_CONNECTER","7400.000","725.000","270","","7400.000","725.000","7301.575","862.795"
"GND","Bolt_Connecter","BottomLayer","BOLT_CONNECTER","8320.000","290.000","90","","8320.000","290.000","8418.425","152.205"
"J4","XT60H","TopLayer","AMASS_XT60_NOMAL","5161.728","2815.000","180","","5303.456","2815.000","5020.000","2815.000"
"LOW2","43045-1812","BottomLayer","43045-18YY_121314","8074.449","1635.000","90","Connector","7996.890","2107.441","7996.890","2107.441"
"LOW1","43045-2012","BottomLayer","43045-20YY_121314","8807.559","1644.055","90","Connector","8730.000","2175.551","8730.000","2175.551"
"L1","YSPI1040TP-220M","TopLayer","SDRH104R3R3NT","6696.000","2648.653","180","Inductor","6696.000","2648.653","6696.000","2823.850"
"K1","HF14FW/024-HSTF","BottomLayer","HF14FW005HPTF","7402.362","1652.874","90","Relay or Contactor","7254.724","1160.748","7254.724","1160.748"
"D12","BAS21,215","TopLayer","BAS21215","5169.209","2525.512","180","Diode","5169.209","2525.512","5206.610","2564.882"
"D7","BAS21,215","TopLayer","BAS21215","3174.209","1665.276","180","Diode","3174.209","1665.276","3211.610","1704.646"
"D10","BAS21,215","TopLayer","BAS21215","4530.000","2110.000","180","Diode","4530.000","2110.000","4567.402","2149.370"
"D8","BAS21,215","TopLayer","BAS21215","5195.000","1630.000","180","Diode","5195.000","1630.000","5232.402","1669.370"
"D9","BAS21,215","TopLayer","BAS21215","3164.209","905.276","180","Diode","3164.209","905.276","3201.610","944.646"
"D3","BAS21,215","TopLayer","BAS21215","5185.000","690.000","180","Diode","5185.000","690.000","5222.402","729.370"
"D4","BAS21,215","TopLayer","BAS21215","3179.209","2465.276","180","Diode","3179.209","2465.276","3216.610","2504.646"
"D5","BAS21,215","TopLayer","BAS21215","4549.209","1330.512","180","Diode","4549.209","1330.512","4586.610","1369.882"
"D2","BAS21,215","TopLayer","BAS21215","1155.000","2754.370","180","Diode","1155.000","2754.370","1192.402","2793.740"
"D11","BAS21,215","TopLayer","BAS21215","1125.000","625.000","180","Diode","1125.000","625.000","1162.402","664.370"
"ZDB8","SMAJ58CA","TopLayer","SMA/DO214AC-BIPOLAR","4980.000","1755.000","0","Bipolar Transient Voltage Supressor","4980.000","1755.000","4899.291","1755.000"
"U5","K7805MT_1000R4","TopLayer","K7805MT_500R4","2254.901","2705.341","270","","2242.205","2705.000","2155.000","2805.000"
"U6","K7805MT_1000R4","TopLayer","K7805MT_500R4","4294.110","1630.617","270","","4281.413","1630.276","4194.209","1730.276"
"U2","K7805MT_1000R4","TopLayer","K7805MT_500R4","4294.901","865.341","270","","4282.205","865.000","4195.000","965.000"
"U4","K7805MT_1000R4","TopLayer","K7805MT_500R4","4299.901","2420.341","270","","4287.205","2420.000","4200.000","2520.000"
"U7","K7805MT_1000R4","TopLayer","K7805MT_500R4","2282.697","585.341","270","","2270.000","585.000","2182.795","685.000"
"C66","22uF\10V","TopLayer","CAPC1608X08N__0603CAPUNPOLE","4055.000","800.000","270","Std MLCC Cap","4055.000","800.000","4055.000","831.496"
"C57","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","5195.000","1750.000","0","Std MLCC Cap","5195.000","1750.000","5163.504","1750.000"
"C7","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","5810.000","845.000","0","Std MLCC Cap","5810.000","845.000","5778.504","845.000"
"C44","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","5815.000","1760.000","0","Std MLCC Cap","5815.000","1760.000","5783.504","1760.000"
"C76","22uF\10V","TopLayer","CAPC1608X08N__0603CAPUNPOLE","2020.000","2630.000","270","Std MLCC Cap","2020.000","2630.000","2020.000","2661.496"
"C29","100nF","TopLayer","CAPC1608X08N__0603CAPUNPOLE","5184.208","965.512","0","Std MLCC Cap","5184.209","965.512","5152.712","965.512"
"C86","10uF 50V","TopLayer","CAPC3216X16N_1206CAPUNPOLE","2045.000","655.000","90","Std MLCC Cap","2045.000","655.000","2045.000","594.961"
"C67","10uF 50V","TopLayer","CAPC3216X16N_1206CAPUNPOLE","4055.000","950.000","90","Std MLCC Cap","4055.000","950.000","4055.000","889.961"
"C75","10uF 50V","TopLayer","CAPC3216X16N_1206CAPUNPOLE","4060.000","2500.039","90","Std MLCC Cap","4060.000","2500.039","4060.000","2440.000"
"C78","10uF 50V","TopLayer","CAPC3216X16N_1206CAPUNPOLE","2020.000","2780.000","90","Std MLCC Cap","2020.000","2780.000","2020.000","2719.961"
"C79","22uF\10V","TopLayer","CAPC1608X08N__0603CAPUNPOLE","4054.209","1545.276","270","Std MLCC Cap","4054.209","1545.276","4054.209","1576.772"
"CN4","BTB_0.8mm_40Pin_Mother","TopLayer","BTB_0.8mm_40PIN_M","2795.276","1614.173","0","","2795.276","1614.173","2710.236","1913.386"
"ZDB10","SMAJ58CA","TopLayer","SMA/DO214AC-BIPOLAR","5625.000","2685.000","0","Bipolar Transient Voltage Supressor","5625.000","2685.000","5544.291","2685.000"
"ZDB7","SMAJ58CA","TopLayer","SMA/DO214AC-BIPOLAR","3619.209","1000.276","0","Bipolar Transient Voltage Supressor","3619.209","1000.276","3538.500","1000.276"
"ZDB6","SMAJ58CA","TopLayer","SMA/DO214AC-BIPOLAR","5620.000","1760.000","0","Bipolar Transient Voltage Supressor","5620.000","1760.000","5539.291","1760.000"
"ZDB9","SMAJ58CA","TopLayer","SMA/DO214AC-BIPOLAR","1595.000","715.000","0","Bipolar Transient Voltage Supressor","1595.000","715.000","1514.291","715.000"
"R111","0","TopLayer","RESC6432X06N__2512RES","4600.000","775.000","0","Std Resistor","4600.000","775.000","4481.890","775.000"
"R140","10K","TopLayer","RESC1608X04N_0603RES","5418.697","2515.512","180","Std Resistor","5418.697","2515.512","5449.209","2515.512"
"R135","47K","TopLayer","RESC1608X04N_0603RES","1780.000","325.000","270","Std Resistor","1780.000","325.000","1780.000","355.512"
"R100","1.2K","TopLayer","RESC1608X04N_0603RES","3184.209","640.276","90","Std Resistor","3184.209","640.276","3184.209","609.764"
"R112","4.7K","TopLayer","RESC1608X04N_0603RES","4565.000","1920.000","90","Std Resistor","4565.000","1920.000","4565.000","1889.488"
"R92","47K","TopLayer","RESC1608X04N_0603RES","3809.209","825.787","270","Std Resistor","3809.209","825.787","3809.209","856.299"
"R86","10K","TopLayer","RESC1608X04N_0603RES","3394.209","835.276","180","Std Resistor","3394.209","835.276","3424.720","835.276"
"R106","47K","TopLayer","RESC1608X04N_0603RES","5160.000","2070.000","90","Std Resistor","5160.000","2070.000","5160.000","2039.488"
"R138","10K","TopLayer","RESC1608X04N_0603RES","5418.697","2460.512","180","Std Resistor","5418.697","2460.512","5449.209","2460.512"
